2024-09-16 00:03:46.250 [info] Starting Python Locator /home/ec2-user/.vscode-server/extensions/ms-python.python-2024.14.1-linux-x64/python-env-tools/bin/pet server
2024-09-16 00:03:46.251 [info] Discovered env: /bin/python
2024-09-16 00:03:46.252 [info] Discovered env: /usr/bin/python
2024-09-16 00:03:46.252 [info] Locator Conda took 72.403687ms
2024-09-16 00:03:46.252 [info] Locator Homebrew took 4.070103ms
2024-09-16 00:03:46.252 [info] Locator LinuxGlobal took 37.709082ms
2024-09-16 00:03:46.252 [info] Locator PipEnv took 9.928µs
2024-09-16 00:03:46.252 [info] Locator Poetry took 3.443798ms
2024-09-16 00:03:46.252 [info] Locator PyEnv took 3.771746ms
2024-09-16 00:03:46.252 [info] Locator Venv took 10.304µs
2024-09-16 00:03:46.253 [info] Locator VirtualEnv took 18.665µs
2024-09-16 00:03:46.253 [info] Locator VirtualEnvWrapper took 20.136µs
2024-09-16 00:03:46.253 [info] Locator GlobalVirtualEnvs took 54.799µs
2024-09-16 00:03:46.253 [info] Locator Locators took 72.784095ms
2024-09-16 00:03:46.253 [info] Locator Path took 122.323705ms
2024-09-16 00:03:46.253 [info] Locator Workspaces took 1.226µs
2024-09-16 00:03:46.253 [info] Refresh completed in 122ms
